person,condition,trial,id,found,item_class,x,y,rt,trial_p
1,1,2,5,20,1,0.283596837944664,0.22727272727272727,15.8,2
1,1,3,17,1,2,0.007905138339920948,0.8586956521739131,1.07,3
1,1,3,18,2,2,0.2075098814229249,0.8883399209486166,1.77,3
1,1,3,19,3,2,0.3191699604743083,0.8774703557312253,2.37,3
1,1,3,13,4,2,0.4150197628458498,0.6492094861660079,3.04,3
1,1,3,12,5,2,0,0.6600790513833992,3.64,3
1,1,3,10,6,2,0.17687747035573123,0.44861660079051385,4.33,3
1,1,3,6,7,2,0.17885375494071146,0.233201581027668,4.87,3
1,1,3,1,8,2,0.19960474308300397,0.041501976284584984,5.53,3
1,1,3,3,9,2,0.383399209486166,0.04940711462450593,6.27,3
1,1,3,2,10,2,0.3577075098814229,0,6.83,3
1,1,3,11,11,1,0.8448616600790514,0.43379446640316205,9.03,3
1,1,3,16,12,2,0.7954545454545454,0.6729249011857708,9.6,3
1,1,3,15,13,2,0.6867588932806324,0.6363636363636364,10.02,3
1,1,3,20,14,2,0.6837944664031621,0.8646245059288538,10.65,3
1,1,3,9,15,2,0.9565217391304348,0.2648221343873518,11.78,3
1,1,3,5,16,2,0.817193675889328,0.001976284584980237,12.53,3
1,1,3,4,17,1,0.5879446640316206,9.881422924901185e-4,13.27,3
1,1,3,8,18,1,0.4535573122529644,0.20355731225296442,13.9,3
1,1,3,7,19,1,0.2984189723320158,0.2134387351778656,14.65,3
1,1,3,14,20,1,0.5642292490118577,0.6758893280632411,15.48,3
1,1,4,17,1,2,0.09288537549407115,0.8695652173913043,1.1,4
1,1,4,15,2,2,0.29446640316205536,0.6620553359683794,1.74,4
1,1,4,14,3,2,0,0.6373517786561265,2.34,4
1,1,4,9,4,2,0.03260869565217391,0.39920948616600793,3.2,4
1,1,4,10,5,2,0.2756916996047431,0.42193675889328064,3.9,4
1,1,4,4,6,2,0.1225296442687747,0.20948616600790515,4.47,4
1,1,4,5,7,2,0.41205533596837945,0.22035573122529645,5.17,4
1,1,4,11,8,2,0.6294466403162056,0.4189723320158103,5.93,4
1,1,4,12,9,2,0.7944664031620553,0.4367588932806324,6.57,4
1,1,4,7,10,2,0.7806324110671937,0.24703557312252963,7.07,4
1,1,4,8,11,2,0.9199604743083004,0.2549407114624506,7.53,4
1,1,4,16,12,2,0.799407114624506,0.6264822134387352,8.17,4
1,1,4,20,13,2,0.7796442687747036,0.8557312252964426,9,4
1,1,4,19,14,2,0.5009881422924901,0.8428853754940712,9.67,4
1,1,4,18,15,2,0.40711462450592883,0.8438735177865613,10.27,4
1,1,4,1,16,1,0.001976284584980237,0.00691699604743083,12,4
1,1,4,2,17,1,0.6175889328063241,0,12.77,4
1,1,4,6,18,1,0.6739130434782609,0.2015810276679842,13.38,4
1,1,4,3,19,1,0.9169960474308301,0.005928853754940711,14.18,4
1,1,4,13,20,1,0.9337944664031621,0.4258893280632411,15.48,4
1,1,5,16,1,2,0.0266798418972332,0.8873517786561265,0.87,5
1,1,5,17,2,2,0.1482213438735178,0.8725296442687747,1.34,5
1,1,5,18,3,2,0.2628458498023715,0.8636363636363636,1.8,5
1,1,5,19,4,2,0.8043478260869565,0.8725296442687747,2.77,5
1,1,5,14,5,2,0.633399209486166,0.6590909090909091,3.44,5
1,1,5,13,6,2,0.5247035573122529,0.6541501976284585,5.07,5
1,1,5,8,7,2,0.2756916996047431,0.43873517786561267,5.77,5
1,1,5,10,8,2,0.6324110671936759,0.4515810276679842,6.7,5
1,1,5,11,9,2,0.7974308300395256,0.4624505928853755,7.33,5
1,1,5,12,10,2,0.9476284584980237,0.4980237154150198,7.97,5
1,1,5,7,11,2,0.5375494071146245,0.2134387351778656,8.77,5
1,1,5,4,12,2,0.674901185770751,0.03557312252964427,10.43,5
1,1,5,3,13,2,0.525691699604743,0.05237154150197629,10.93,5
1,1,5,2,14,2,0.40019762845849804,0.044466403162055336,11.47,5
1,1,5,1,15,2,0.040513833992094864,0,12.18,5
1,1,5,5,16,1,0,0.22035573122529645,13.23,5
1,1,5,6,17,1,0.26778656126482214,0.2727272727272727,14.3,5
1,1,5,9,18,1,0.508893280632411,0.4150197628458498,15.05,5
1,1,5,15,19,1,0.9031620553359684,0.658102766798419,16.12,5
1,1,5,20,20,1,0.9051383399209486,0.866600790513834,17.6,5
1,1,6,16,1,2,0.2509881422924901,0.8685770750988142,2.39,6
1,1,6,12,2,2,0.4061264822134387,0.6887351778656127,3.22,6
1,1,6,13,3,2,0.5424901185770751,0.674901185770751,3.75,6
1,1,6,14,4,2,0.6373517786561265,0.6778656126482213,4.25,6
1,1,6,18,5,2,0.6986166007905138,0.8735177865612648,5.02,6
1,1,6,19,6,2,0.799407114624506,0.8804347826086957,5.55,6
1,1,6,15,7,2,0.8992094861660079,0.6887351778656127,6.28,6
1,1,6,8,8,2,0.5316205533596838,0.47134387351778656,7.05,6
1,1,6,7,9,2,0.16699604743083005,0.49308300395256915,7.88,6
1,1,6,10,10,2,0.1492094861660079,0.6719367588932806,8.52,6
1,1,6,9,11,2,0,0.6531620553359684,9.05,6
1,1,6,5,12,2,0.024703557312252964,0.2855731225296443,9.68,6
1,1,6,1,13,2,0.017786561264822136,0.03359683794466403,10.38,6
1,1,6,3,14,2,0.3794466403162055,0,11.28,6
1,1,6,4,15,2,0.7885375494071146,0.043478260869565216,12.17,6
