person,block,trial,id,found,class,x,y
2,2,1,38,38,1,0.23309635225773856,0.983575927843176
2,1,1,39,39,1,0.8795080125391497,0.9831781403344724
2,2,1,39,39,1,0.17086125879339,0.7836673160988991
2,1,1,40,40,0,0.9570306018472071,0.9125546211253919
2,2,1,40,40,0,0.31700253331996203,0.812126914536092
2,1,2,1,1,1,0.05986650128034314,0.146177739077051
2,2,2,1,1,1,0.046741129901772274,0.011871392442682418
2,1,2,2,2,0,0.11755854544290663,0.17208422680739952
2,2,2,2,2,1,0.22751208002630832,0.0743471966110442
2,1,2,3,3,0,0.252338946470608,0.17180398529165986
2,2,2,3,3,1,0.2342359830426861,0.14357148550974105
2,1,2,4,4,0,0.31968114257201197,0.07211989532086947
2,2,2,4,4,0,0.11246971959798169,0.08857368255238988
2,1,2,5,5,0,0.47677210837802897,0.04939794624200704
2,2,2,5,5,0,0.06604246695749402,0.18819957410717025
2,1,2,6,6,1,0.43886658685954916,0.15424325643006764
2,2,2,6,6,0,0.03446787221152429,0.3287630267831922
2,1,2,7,7,1,0.5405198407956856,0.1716616510120003
2,2,2,7,7,0,0.14420656975229673,0.3094671555150375
2,1,2,8,8,1,0.550647247471986,0.04119678651010789
2,2,2,8,8,1,0.040148257037024355,0.4386073417822752
2,1,2,9,9,1,0.6381561417746984,0.09708219681825009
2,2,2,9,9,0,0.025203409125198896,0.585821350277305
2,1,2,10,10,1,0.6621688734216307,0.14180649759402852
2,2,2,10,10,1,0.03258223577827286,0.6712122646333534
2,1,2,11,11,1,0.7692843910642826,0.05451910756000324
2,2,2,11,11,1,0.1130490417582217,0.7232958235467756
2,1,2,12,12,0,0.8836867073806728,0.02762230593732805
2,2,2,12,12,0,0.15198833194435762,0.7992251450257556
2,1,2,13,13,0,0.9433099791841445,0.09825903511915614
2,2,2,13,13,1,0.16945442435061028,0.9333457718164876
2,1,2,14,14,1,0.9657940644847318,0.20384807846314915
2,2,2,14,14,0,0.42153615603336525,0.9837999685921528
2,1,2,15,15,0,0.9676002749369726,0.2871823767825143
2,2,2,15,15,1,0.3657029341778998,0.8298963125858715
2,1,2,16,16,1,0.8488908983801612,0.2213197063381079
2,2,2,16,16,1,0.46174501413408564,0.8281441991404049
2,1,2,17,17,1,0.7434113274482383,0.2147301581987048
2,2,2,17,17,1,0.5552422628752204,0.8113952925162464
2,1,2,18,18,0,0.9771006914147745,0.42184896206905764
2,2,2,18,18,0,0.354579360551362,0.6492897942218813
2,1,2,19,19,1,0.8876463892333352,0.4432620829061524
2,2,2,19,19,0,0.33594948599036994,0.5875666136071611
2,1,2,20,20,1,0.7693203922061086,0.4283439554700927
2,2,2,20,20,0,0.4747708348159786,0.45480854909459456
2,1,2,21,21,0,0.6325345243845829,0.3964702074131272
2,2,2,21,21,0,0.42697339866858325,0.27960704530146396
2,1,2,22,22,0,0.3395249694243302,0.4533124975232792
2,2,2,22,22,1,0.5600245077438235,0.14179244920965617
2,1,2,23,23,1,0.14954201627520805,0.3039657096757434
2,2,2,23,23,1,0.6650546652705929,0.17319529874464232
2,1,2,24,24,0,0.16770715077522033,0.47840750257451636
2,2,2,24,24,0,0.6489764410885568,0.27476890752082933
2,1,2,25,25,0,0.2579101893757338,0.5305742826819921
2,2,2,25,25,0,0.7321773146164634,0.3248201811263277
2,1,2,26,26,1,0.12337477045898976,0.5604144573428699
2,2,2,26,26,0,0.7482137271584995,0.15926327530153916
2,1,2,27,27,0,0.5691642577438376,0.5203511483065294
2,2,2,27,27,0,0.8384779193648316,0.19042395429781317
2,1,2,28,28,0,0.6306496932585531,0.6636845125890938
2,2,2,28,28,1,0.785306501793058,0.043080918525038
2,1,2,29,29,1,0.8782868734499828,0.6721304273466483
2,2,2,29,29,0,0.9773348828846828,0.03203935222388965
2,1,2,30,30,0,0.9376490644621884,0.7007356855709531
